2025-10-21T10:11:44 | 2025-10-21T10:11:57 | luis | duration_s=13.274 | verified=0 | frames=8 | min_dist=0.121174 | avg_dist=0.182418 | res=1280x720 | avg_fps=1.10
2025-10-21T14:33:04 | 2025-10-21T14:33:04 | santiago | duration_s=0.000 | verified=0 | frames=1 | min_dist=0.661010 | avg_dist=0.661010 | res=1280x720 | avg_fps=1.09
2025-10-21T14:32:58 | 2025-10-21T14:33:06 | luis | duration_s=8.250 | verified=0 | frames=15 | min_dist=0.130988 | avg_dist=0.358124 | res=1280x720 | avg_fps=1.65
2025-10-21T14:33:07 | 2025-10-21T14:33:12 | giancarlo | duration_s=4.963 | verified=1 | frames=11 | min_dist=0.195794 | avg_dist=0.246372 | res=1280x720 | avg_fps=2.08
2025-10-21T14:33:13 | 2025-10-21T14:33:13 | rodas | duration_s=0.000 | verified=0 | frames=1 | min_dist=0.479651 | avg_dist=0.479651 | res=1280x720 | avg_fps=2.11
2025-10-21T14:32:58 | 2025-10-21T14:33:14 | ali | duration_s=16.274 | verified=0 | frames=32 | min_dist=0.164866 | avg_dist=0.284504 | res=1280x720 | avg_fps=2.11
2025-10-21T14:33:14 | 2025-10-21T14:33:14 | luis | duration_s=0.399 | verified=0 | frames=2 | min_dist=0.104737 | avg_dist=0.120080 | res=1280x720 | avg_fps=2.11
2025-10-21T14:33:14 | 2025-10-21T14:33:14 | giancarlo | duration_s=0.399 | verified=0 | frames=2 | min_dist=0.545444 | avg_dist=0.564371 | res=1280x720 | avg_fps=2.11
2025-10-21T14:34:45 | 2025-10-21T14:34:48 | santiago | duration_s=3.016 | verified=0 | frames=2 | min_dist=0.571815 | avg_dist=0.592884 | res=1280x720 | avg_fps=0.63
2025-10-21T14:34:45 | 2025-10-21T14:34:57 | luis | duration_s=12.367 | verified=1 | frames=19 | min_dist=0.060181 | avg_dist=0.109617 | res=1280x720 | avg_fps=1.79
2025-10-21T14:34:58 | 2025-10-21T14:34:58 | rodas | duration_s=0.876 | verified=0 | frames=2 | min_dist=0.410631 | avg_dist=0.416079 | res=1280x720 | avg_fps=1.85
2025-10-21T14:34:58 | 2025-10-21T14:35:03 | giancarlo | duration_s=4.747 | verified=0 | frames=12 | min_dist=0.086538 | avg_dist=0.157568 | res=1280x720 | avg_fps=2.01
2025-10-21T14:35:07 | 2025-10-21T14:35:09 | giancarlo | duration_s=1.386 | verified=0 | frames=2 | min_dist=0.604026 | avg_dist=0.654402 | res=1280x720 | avg_fps=2.04
2025-10-21T14:35:08 | 2025-10-21T14:35:10 | santiago | duration_s=1.408 | verified=0 | frames=2 | min_dist=0.566583 | avg_dist=0.645074 | res=1280x720 | avg_fps=2.05
2025-10-21T14:35:10 | 2025-10-21T14:35:11 | rodas | duration_s=0.472 | verified=0 | frames=2 | min_dist=0.626643 | avg_dist=0.641752 | res=1280x720 | avg_fps=2.05
2025-10-21T14:35:15 | 2025-10-21T14:35:15 | giancarlo | duration_s=0.000 | verified=0 | frames=1 | min_dist=0.553033 | avg_dist=0.553033 | res=1280x720 | avg_fps=2.07
2025-10-21T14:35:14 | 2025-10-21T14:35:17 | rodas | duration_s=2.674 | verified=0 | frames=6 | min_dist=0.364162 | avg_dist=0.601871 | res=1280x720 | avg_fps=2.08
2025-10-21T14:35:17 | 2025-10-21T14:35:18 | giancarlo | duration_s=0.909 | verified=0 | frames=2 | min_dist=0.614234 | avg_dist=0.645339 | res=1280x720 | avg_fps=2.10
2025-10-21T14:35:17 | 2025-10-21T14:35:18 | santiago | duration_s=0.846 | verified=0 | frames=3 | min_dist=0.596611 | avg_dist=0.639118 | res=1280x720 | avg_fps=2.10
2025-10-21T14:35:19 | 2025-10-21T14:35:22 | rodas | duration_s=3.489 | verified=0 | frames=7 | min_dist=0.449657 | avg_dist=0.559406 | res=1280x720 | avg_fps=2.12
2025-10-21T14:34:45 | 2025-10-21T14:35:23 | ali | duration_s=38.693 | verified=0 | frames=101 | min_dist=0.134073 | avg_dist=0.308098 | res=1280x720 | avg_fps=2.12
2025-10-21T14:35:03 | 2025-10-21T14:35:23 | luis | duration_s=19.902 | verified=1 | frames=55 | min_dist=0.088031 | avg_dist=0.278443 | res=1280x720 | avg_fps=2.12
2025-10-21T14:35:23 | 2025-10-21T14:35:23 | santiago | duration_s=0.000 | verified=0 | frames=1 | min_dist=0.634533 | avg_dist=0.634533 | res=1280x720 | avg_fps=2.12
